"Cluster","Number","Freq","JLKCD3","JLKMED","P1042CD3","P1042HIV","P1042MED","P1043CD3","P1043HIV","P1043MED","JLKCD3_%","JLKMED_%","P1042CD3_%","P1042HIV_%","P1042MED_%","P1043CD3_%","P1043HIV_%","P1043MED_%"
"0",4974,13.4650785056849,336,330,83,1057,1068,406,1035,659,5.48661005878511,6.86641697877653,3.95992366412214,26.5377855887522,24.5460813606068,6.16178479283655,18.75,18.9858830308269
"1",4000,10.8283703302653,435,590,118,429,538,644,805,441,7.10320052253429,12.2763212650853,5.62977099236641,10.7707757971378,12.3649735692944,9.77386553346487,14.5833333333333,12.7052722558341
"2",2890,7.82349756361668,646,1,570,3,1,1661,8,0,10.5486610058785,0.0208073241781107,27.1946564885496,0.0753201104694954,0.0229832222477591,25.2086811352254,0.144927536231884,0
"3",2882,7.80184082295615,115,82,185,686,766,283,461,304,1.87785760940562,1.70620058260508,8.8263358778626,17.2231985940246,17.6051482417835,4.29503718318409,8.35144927536232,8.75828291558629
"4",1917,5.18949648077964,309,644,8,82,89,102,410,273,5.04572175048988,13.3999167707033,0.381679389312977,2.05874968616621,2.04550678005056,1.54803460312642,7.42753623188406,7.86516853932584
"5",1879,5.08662696264212,279,197,60,292,264,208,350,229,4.55584585238406,4.09904286308781,2.86259541984733,7.33115741903088,6.06757067340841,3.15677644559114,6.34057971014493,6.59752232785941
"6",1688,4.56957227937195,216,469,20,85,115,216,340,227,3.52710646636185,9.75863503953392,0.954198473282443,2.1340697966357,2.6430705584923,3.27819092426772,6.15942028985507,6.53990204552002
"7",1664,4.50460205739036,978,0,103,2,0,581,0,0,15.9699542782495,0,4.91412213740458,0.0502134069796636,0,8.81772651388678,0,0
"8",1587,4.29615592853276,222,100,117,290,145,185,386,142,3.62508164598302,2.08073241781107,5.58206106870229,7.28094401205122,3.33256722592507,2.80770981939596,6.99275362318841,4.09104004609623
"9",1559,4.2203573362209,212,573,74,139,185,79,156,141,3.46178967994775,11.9225967540574,3.53053435114504,3.48983178508662,4.25189611583544,1.19896797693125,2.82608695652174,4.06222990492653
"10",1550,4.1959935029778,91,389,14,144,194,123,378,217,1.48595689092097,8.09404910528506,0.66793893129771,3.61536530253578,4.45874511606527,1.86674760965245,6.84782608695652,6.25180063382311
"11",1487,4.02544667027612,615,42,110,3,0,700,14,3,10.0424559111692,0.873907615480649,5.24809160305344,0.0753201104694954,0,10.6237668842009,0.253623188405797,0.0864304235090752
"12",1279,3.46237141310233,327,600,6,22,35,98,106,85,5.33964728935336,12.4843945068664,0.286259541984733,0.552347476776299,0.80441277867157,1.48732736378813,1.92028985507246,2.4488619994238
"13",1250,3.3838657282079,12,157,11,162,169,43,395,301,0.195950359242325,3.26674989596338,0.524809160305344,4.06728596535275,3.88416455987129,0.652602822886629,7.15579710144928,8.67185249207721
"14",1021,2.76394152680022,439,214,38,44,58,106,76,46,7.1685173089484,4.45276737411569,1.81297709923664,1.1046949535526,1.33302689037003,1.60874184246471,1.3768115942029,1.32526649380582
"15",897,2.42826204656199,62,112,57,125,158,123,152,108,1.01241018941868,2.3304203079484,2.71946564885496,3.13833793622897,3.63134911514594,1.86674760965245,2.7536231884058,3.11149524632671
"16",879,2.3795343800758,79,44,292,66,116,151,91,40,1.29000653167864,0.915522263836871,13.9312977099237,1.6570424303289,2.66605378074006,2.29169828502049,1.64855072463768,1.15240564678767
"17",866,2.34434217650244,118,25,87,23,3,537,45,28,1.9268451992162,0.520183104452767,4.15076335877863,0.577454180266131,0.0689496667432774,8.14994688116558,0.815217391304348,0.806683952751369
"18",722,1.95452084461289,29,17,41,148,231,64,125,67,0.473546701502286,0.353724511027882,1.95610687022901,3.7157921164951,5.30912433923236,0.971315829412657,2.26449275362319,1.93027945836935
"19",638,1.72712506767731,458,2,15,4,5,140,9,5,7.47877204441541,0.0416146483562214,0.715648854961832,0.100426813959327,0.114916111238796,2.12475337684019,0.16304347826087,0.144050705848459
"20",340,0.92041147807255,49,20,49,63,74,41,26,18,0.800130633572828,0.416146483562214,2.33778625954198,1.5817223198594,1.70075844633418,0.622249203217484,0.471014492753623,0.518582541054451
"21",319,0.863562533838657,39,86,26,19,23,26,47,53,0.636838667537557,1.78942987931752,1.24045801526718,0.477027366306804,0.52861411169846,0.394597055698892,0.851449275362319,1.52693748199366
"22",285,0.771521386031402,14,60,2,36,41,26,58,48,0.228608752449379,1.24843945068664,0.0954198473282443,0.903841325633944,0.942312112158125,0.394597055698892,1.05072463768116,1.3828867761452
"23",239,0.646995127233351,25,26,6,40,53,28,32,29,0.408229915088178,0.540990428630878,0.286259541984733,1.00426813959327,1.21811077913123,0.424950675368038,0.579710144927536,0.83549409392106
"24",128,0.346507850568489,19,26,4,19,20,18,15,7,0.310254735467015,0.540990428630878,0.190839694656489,0.477027366306804,0.459664444955183,0.27318257702231,0.271739130434783,0.201670988187842
"Total",36940,100,6124,4806,2096,3983,4351,6589,5520,3471,100,100,100,100,100,100,100,100
